taxon,gi,ena,description
12897,425862833,JX909290.1,"Chrysanthemum stunt viroid isolate 2214-BR, complete genome
"
12892,614706578,KF683200.1,"Potato spindle tuber viroid isolate DR13-01, complete genome
"
12897,345422091,JF938538.1,"Chrysanthemum stunt viroid isolate AF164, complete genome
"
190810,355344159,JN008865.1,"Australian grapevine viroid isolate Kheljan, complete genome
"
46342,584459571,KF916048.1,"Grapevine yellow speckle viroid 2 clone IUT 10, complete genome
"
12890,313118540,HQ423166.1,"Citrus exocortis viroid isolate Sj-Slo, complete genome
"
697192,700674136,LC006863.1,"Citrus viroid VI genomic RNA, complete genome
"
12906,710359,U21125.1,"Citrus bent leaf viroid CBLVd-225, complete genome
"
12894,354463119,JF927893.1,"Peach latent mosaic viroid isolate V206, complete genome
"
12890,21538807,AJ490825.1,"Citrus exocortis viroid complete genome, strain yellow corky vein
"
73494,485073765,KC237731.1,"Apple dimple fruit viroid isolate SDYT-1, complete genome
"
12904,328925436,HQ447058.1,"Grapevine yellow speckle viroid 1 isolate 09-2009-2140g1, complete genome
"
12904,355344160,JN008866.1,"Grapevine yellow speckle viroid 1 isolate Mahabad, complete genome
"
12904,411171749,JX892934.1,"Grapevine yellow speckle viroid 1 clone 33 symptomatic, complete genome
"
12892,313118518,HQ454917.1,"Potato spindle tuber viroid isolate U-type-jasminoides, complete genome
"
12892,363805659,HE575349.1,"Potato spindle tuber viroid complete genome, clone 2904, genomic RNA
"
12890,363399318,HQ667138.1,"Citrus exocortis viroid isolate sr1, complete genome
"
12895,315466302,FR749995.1,"Apple scar skin viroid complete genome, isolate Hatkoti, genomic RNA
"
12895,694999082,KM213397.1,"Apple scar skin viroid isolate HR174306, complete genome
"
46342,421954813,JQ686717.1,"Grapevine yellow speckle viroid 2 isolate GYSVd-2-CF7#1, complete genome
"
190808,166788516,AB366019.1,"Apple fruit crinkle viroid genomic RNA, complete genome, clone: Kaki13-2
"
12890,530453457,KC282381.1,"Citrus exocortis viroid strain 4-25, complete genome
"
192025,58844,X52960.1,"Coleus blumei viroid 1 (CbVd) RNA
"
192027,327557347,HQ727548.1,"Coleus blumei viroid 3 clone 3-2, complete genome
"
12890,404436057,JX237458.1,"Citrus exocortis viroid isolate Exo100-12, complete genome
"
12892,328864202,HQ639697.1,"Potato spindle tuber viroid isolate PSTVd-1, complete genome
"
12890,326454630,HQ284026.1,"Citrus exocortis viroid isolate CEVd.016, complete genome
"
100785,395804923,JQ975098.1,"Tomato chlorotic dwarf viroid, complete genome
"
100785,393827415,JQ974378.1,"Tomato chlorotic dwarf viroid clone 1, complete genome
"
596768,226426423,FJ751925.1,"Citrus exocortis Yucatan viroid isolate 7, complete genome
"
427315,156151281,AB294512.1,"Tomato yellow dwarf disease associated satellite DNA beta-[Kochi] DNA, complete genome
"
12887,221254,D13765.1,"Dapple peach fruit disease viroid genomic RNA from peach dapple fruit, complete sequence
"
459949,156144958,EF617306.1,"Citrus viroid V, complete genome
"
1319979,521969355,AB817729.1,"Persimmon viroid 2 genomic RNA, complete genome
"
574040,326369365,JF446894.1,"Pepper chat fruit viroid isolate NK10-6c1, complete genome
"
46342,221665329,FJ597920.1,"Grapevine yellow speckle viroid 2 clone 3-19, complete genome
"
36453,323276,J02050.1,"Cadang-cadang coconut viroid, RNA 1 fast, complete genome
"
12886,221255,D13764.1,"Dapple plum and peach fruit disease viroid genomic RNA from plum and peach dapple fruits, complete sequence
"
12896,558762109,KF562705.1,"Avocado sunblotch viroid isolate Uruapan-1, complete genome
"
46342,355344161,JN008867.1,"Grapevine yellow speckle viroid 2 isolate Maragheh, complete genome
"
12904,746718013,KJ466325.1,"Grapevine yellow speckle viroid 1 isolate E40-YS1, complete genome
"
37011,350994686,JF727178.1,"Pan troglodytes troglodytes isolate Grand-Maitre mitochondrion, complete genome
"
12893,660050973,KJ810552.1,"Hop stunt viroid clone GH, complete genome
"
459949,451172318,KC460712.1,"Citrus viroid V isolate WN4R, complete genome
"
73494,1769837,X99487.1,"Apple dimple fruit viroid
"
12906,346722620,JF742600.1,"Citrus bent leaf viroid clone Hb-C1-2, complete genome
"
12894,343488673,JF416648.1,"Peach latent mosaic viroid isolate SD1, complete genome
"
12893,542191225,KF137565.1,"Hop stunt viroid isolate OR1c, complete genome
"
12888,335270,K00817.1,"Tomato planta macho viroid, complete genome
"
12895,442572241,KC110860.1,"Apple scar skin viroid strain Y8, complete genome
"
574040,496664833,KC762953.1,"Pepper chat fruit viroid isolate EMAI12/759, complete genome
"
41862,6671120,AF184148.1,"Citrus viroid IIIb complete genome
"
12885,392514747,JQ904911.1,"Tomato apical stunt viroid isolate Sj 499-Slo, complete genome
"
551523,672941206,KM214215.1,"Citrus dwarfing viroid isolate lot1-1/2-19, complete genome
"
551523,353126714,JF970265.1,"Citrus dwarfing viroid isolate H16-9, complete genome
"
110139,6671121,AF184149.1,"Citrus viroid IIIc complete genome
"
190810,675153756,KJ489017.1,"Australian grapevine viroid isolate AG-SB-3.2, complete genome
"
12893,401709724,AB742224.1,"Hop stunt viroid genomic RNA, complete genome, isolate: Ind-1
"
192026,327557342,HQ727545.1,"Coleus blumei viroid 2 isolate CbVd-2-5, complete genome
"
12895,339830674,HQ840722.1,"Apple scar skin viroid clone ASSVd-ap, complete genome
"
12904,540270950,KC427100.1,"Grapevine yellow speckle viroid 1 isolate GYSVd-1-WA-2, complete genome
"
12893,567974846,KF712280.1,"Hop stunt viroid isolate F1, complete genome
"
458152,161514009,AM777161.1,"Tomato apical stunt viroid Sj1, complete genome
"
12893,334353448,FR865478.1,"Hop stunt viroid isolate Mor17, complete genome, genomic RNA
"
12892,532164902,KF021223.1,"Potato spindle tuber viroid isolate oI33_2356, complete genome
"
68402,748585081,LC017918.1,"Chrysanthemum chlorotic mottle viroid genomic RNA, complete genome, isolate: JpnCCh
"
12893,363805656,HE575346.1,"Hop stunt viroid complete genome, clone 3593, genomic RNA
"
12897,356582174,AB679193.1,"Chrysanthemum stunt viroid genomic RNA, complete genome, strain: SK1
"
651134,239737286,FJ615419.1,"Coleus blumei viroid 6 clone 2, complete genome
"
12890,594021491,KF973205.1,"Citrus exocortis viroid isolate 159-1, complete genome
"
12885,60650,X06390.1,"Tomato apical stunt viroid (TASV) genome
"
12898,59042,X14638.1,"Citrus Viroid IV (CVd IV) complete genome, genomic RNA
"
12898,379061706,JN903766.1,"Citrus bark cracking viroid isolate Westin, complete genome
"
12892,530453545,KF049417.1,"Potato spindle tuber viroid isolate BRIP54757, complete genome
"
190810,207678368,DQ362908.2,"Australian grapevine viroid clone 1-40, complete genome
"
12892,700369973,KJ857496.1,"Potato spindle tuber viroid isolate CVN181, complete genome
"
574040,672941216,KM214225.1,"Pepper chat fruit viroid isolate Niruj-19, complete genome
"
147263,41353206,AY513267.1,"Citrus cachexia viroid, complete genome
"
481311,166788519,AB366022.1,"Persimmon viroid genomic RNA, complete genome, clone: Kaki13-5
"
12894,384038867,JF898804.1,"Peach latent mosaic viroid isolate RB18, complete genome
"
190808,461495525,AB795270.1,"Apple fruit crinkle viroid genomic RNA, complete genome, isolate: vir7
"
529840,394994899,JQ809700.1,"Mulberry small circular viroid-like RNA 1 isolate 201110151, complete genome
"
12897,390429455,JQ809263.1,"Chrysanthemum stunt viroid isolate US1.8, complete genome
"
12901,58886,X15663.1,"Columnea latent viroid RNA
"
12893,600972324,KJ139987.1,"Hop stunt viroid isolate 6-1, complete genome
"
12892,407971643,JX280944.1,"Potato spindle tuber viroid isolate NC12-01, complete genome
"
12885,545290126,KF484878.1,"Tomato apical stunt viroid isolate SjH2013, complete genome
"
219174,29825430,AJ536612.1,"Eggplant latent viroid complete genome, isolate 1
"
36453,733991957,KM588102.1,"Coconut cadang-cadang viroid isolate CP246, complete genome
"
12893,537363028,KF060660.1,"Hop stunt viroid clone 2, complete genome
"
5661,361050165,FR799600.2,"Leishmania donovani BPK282A1 complete genome, chromosome 13
"
5478,196049202,CR380959.2,"Candida glabrata strain CBS138 chromosome M complete sequence
"
294748,92090993,"CM000311.1 Candida albicans WO-1 chromosome 5, whole genome shotgun sequence
","Candida albicans WO-1 chromosome 5, whole genome shotgun sequence
"
283643,50345811,"CM000042.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 3, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 3, whole genome shotgun sequence
"
237561,12539616,AF285261.1,"Candida albicans SC5314 mitochondrion, complete genome
"
36329,1013064538,AL844506.3,"Plasmodium falciparum 3D7 chromosome 7
"
32644,23507741,AE001362.1,"Plasmodium falciparum 3D7 chromosome 2, complete sequence
"
5478,49525678,CR380953.1,"Candida glabrata strain CBS138 chromosome G complete sequence
"
330879,67471105,"CM000171.1 Aspergillus fumigatus Af293 chromosome 3, whole genome shotgun sequence
","Aspergillus fumigatus Af293 chromosome 3, whole genome shotgun sequence
"
5661,361050170,FR799604.2,"Leishmania donovani BPK282A1 complete genome, chromosome 17
"
5478,196049164,CR380957.2,"Candida glabrata strain CBS138 chromosome K complete sequence
"
5855,157098049,"CM000453.1 Plasmodium vivax chromosome 12, whole genome shotgun sequence
","Plasmodium vivax chromosome 12, whole genome shotgun sequence
"
5661,322496515,FR799593.1,"Leishmania donovani BPK282A1 complete genome, chromosome 6
"
283643,50345813,"CM000040.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 1, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 1, whole genome shotgun sequence
"
5661,322496650,FR799594.1,"Leishmania donovani BPK282A1 complete genome, chromosome 7
"
36329,1013064449,AL844508.2,"Plasmodium falciparum 3D7 chromosome 9
"
5661,361050163,FR799598.2,"Leishmania donovani BPK282A1 complete genome, chromosome 11
"
5661,361050153,FR799610.2,"Leishmania donovani BPK282A1 complete genome, chromosome 23
"
330879,67471107,"CM000169.1 Aspergillus fumigatus Af293 chromosome 1, whole genome shotgun sequence
","Aspergillus fumigatus Af293 chromosome 1, whole genome shotgun sequence
"
4896,13639,X54421.1,"Schizosaccharomyces pombe complete mitochondrial genome
"
5661,361050148,FR799620.2,"Leishmania donovani BPK282A1 complete genome, chromosome 33
"
5661,361050155,FR799588.2,"Leishmania donovani BPK282A1 complete genome, chromosome 1
"
330879,67471088,"CM000176.1 Aspergillus fumigatus Af293 chromosome 8, whole genome shotgun sequence
","Aspergillus fumigatus Af293 chromosome 8, whole genome shotgun sequence
"
5661,322500086,FR799614.1,"Leishmania donovani BPK282A1 complete genome, chromosome 27
"
235443,405124340,WGS:AACO,"Cryptococcus neoformans var. grubii H99 mitochondrion, complete genome
"
5661,361050143,FR799617.2,"Leishmania donovani BPK282A1 complete genome, chromosome 30
"
4896,157310483,CU329672.1,"Schizosaccharomyces pombe chromosome III, complete sequence
"
5478,29500866,AJ511533.1,"Candida glabrata complete mitochondrial genome
"
5661,361050161,FR799596.2,"Leishmania donovani BPK282A1 complete genome, chromosome 9
"
5478,49524724,CR380950.1,"Candida glabrata strain CBS138 chromosome D complete sequence
"
283643,50345803,"CM000050.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 11, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 11, whole genome shotgun sequence
"
5478,196049219,CR380947.2,"Candida glabrata strain CBS138 chromosome A complete sequence
"
5661,361050150,FR799622.2,"Leishmania donovani BPK282A1 complete genome, chromosome 35
"
5661,361050154,FR799591.2,"Leishmania donovani BPK282A1 complete genome, chromosome 4
"
5478,196049137,CR380955.2,"Candida glabrata strain CBS138 chromosome I complete sequence
"
5855,157098053,"CM000449.1 Plasmodium vivax chromosome 8, whole genome shotgun sequence
","Plasmodium vivax chromosome 8, whole genome shotgun sequence
"
32644,254832581,AE014186.2,"Plasmodium falciparum 3D7 chromosome 11, complete sequence
"
283643,50345806,"CM000047.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 8, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 8, whole genome shotgun sequence
"
283643,50345805,"CM000048.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 9, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 9, whole genome shotgun sequence
"
330879,67471106,"CM000170.1 Aspergillus fumigatus Af293 chromosome 2, whole genome shotgun sequence
","Aspergillus fumigatus Af293 chromosome 2, whole genome shotgun sequence
"
5661,361050160,FR799595.2,"Leishmania donovani BPK282A1 complete genome, chromosome 8
"
36329,1013064403,AL844504.2,"Plasmodium falciparum 3D7 chromosome 5
"
283643,50345812,"CM000041.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 2, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 2, whole genome shotgun sequence
"
5661,361050162,FR799597.2,"Leishmania donovani BPK282A1 complete genome, chromosome 10
"
5855,157098054,"CM000448.1 Plasmodium vivax chromosome 7, whole genome shotgun sequence
","Plasmodium vivax chromosome 7, whole genome shotgun sequence
"
5855,63022238,AY598074.1,"Plasmodium vivax isolate AD80 mitochondrion, complete genome
"
4896,159883886,CU329670.1,"Schizosaccharomyces pombe chromosome I, complete sequence
"
5855,157098060,"CM000442.1 Plasmodium vivax chromosome 1, whole genome shotgun sequence
","Plasmodium vivax chromosome 1, whole genome shotgun sequence
"
32644,254945348,AE014188.3,"Plasmodium falciparum 3D7 chromosome 12, complete sequence
"
5478,49524282,CR380948.1,"Candida glabrata strain CBS138 chromosome B complete sequence
"
36329,1013064575,AL844507.3,"Plasmodium falciparum 3D7 chromosome 8
"
283643,50345804,"CM000049.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 10, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 10, whole genome shotgun sequence
"
5661,361050152,FR799609.2,"Leishmania donovani BPK282A1 complete genome, chromosome 22
"
5661,361050137,FR799612.2,"Leishmania donovani BPK282A1 complete genome, chromosome 25
"
36329,1013064425,AL844505.2,"Plasmodium falciparum 3D7 chromosome 6
"
573826,223640020,FM992688.1,"Candida dubliniensis CD36 chromosome 1, complete sequence
"
294748,92090992,"CM000312.1 Candida albicans WO-1 chromosome 6, whole genome shotgun sequence
","Candida albicans WO-1 chromosome 6, whole genome shotgun sequence
"
294748,90659820,"CH672350.1 Candida albicans WO-1 chromosome 2 supercont1.5 genomic scaffold, whole genome shotgun sequence
","Candida albicans WO-1 chromosome 2 supercont1.5 genomic scaffold, whole genome shotgun sequence
"
5661,361050142,FR799616.2,"Leishmania donovani BPK282A1 complete genome, chromosome 29
"
5855,229487485,"CM000444.2 Plasmodium vivax chromosome 3, whole genome shotgun sequence
","Plasmodium vivax chromosome 3, whole genome shotgun sequence
"
5661,322496393,FR799592.1,"Leishmania donovani BPK282A1 complete genome, chromosome 5
"
5478,196049150,CR380956.2,"Candida glabrata strain CBS138 chromosome J complete sequence
"
5661,361050168,FR799603.2,"Leishmania donovani BPK282A1 complete genome, chromosome 16
"
5661,322498741,FR799608.1,"Leishmania donovani BPK282A1 complete genome, chromosome 21
"
5661,361050156,FR799589.2,"Leishmania donovani BPK282A1 complete genome, chromosome 2
"
573826,223643022,FM992691.1,"Candida dubliniensis CD36 chromosome 4, complete sequence
"
5855,157098055,"CM000447.1 Plasmodium vivax chromosome 6, whole genome shotgun sequence
","Plasmodium vivax chromosome 6, whole genome shotgun sequence
"
5478,196049124,CR380951.2,"Candida glabrata strain CBS138 chromosome E complete sequence
"
573826,223644147,FM992693.1,"Candida dubliniensis CD36 chromosome 6, complete sequence
"
36329,1013064381,AL844503.2,"Plasmodium falciparum 3D7 chromosome 4
"
330879,67471104,"CM000172.1 Aspergillus fumigatus Af293 chromosome 4, whole genome shotgun sequence
","Aspergillus fumigatus Af293 chromosome 4, whole genome shotgun sequence
"
294748,90659824,"CH672346.1 Candida albicans WO-1 chromosome 1 supercont1.1 genomic scaffold, whole genome shotgun sequence
","Candida albicans WO-1 chromosome 1 supercont1.1 genomic scaffold, whole genome shotgun sequence
"
36329,1013064322,AL844501.2,"Plasmodium falciparum strain 3D7, chromosome 1
"
36329,1013064492,AL844509.3,"Plasmodium falciparum 3D7 chromosome 13
"
5478,196049179,CR380958.2,"Candida glabrata strain CBS138 chromosome L complete sequence
"
36329,1013064350,AL844502.2,"Plasmodium falciparum 3D7 chromosome 3
"
5855,157098051,"CM000451.1 Plasmodium vivax chromosome 10, whole genome shotgun sequence
","Plasmodium vivax chromosome 10, whole genome shotgun sequence
"
5661,361050151,FR799623.2,"Leishmania donovani BPK282A1 complete genome, chromosome 36
"
294748,92090995,"CM000309.1 Candida albicans WO-1 chromosome R, whole genome shotgun sequence
","Candida albicans WO-1 chromosome R, whole genome shotgun sequence
"
294748,92090991,"CM000313.1 Candida albicans WO-1 chromosome 7, whole genome shotgun sequence
","Candida albicans WO-1 chromosome 7, whole genome shotgun sequence
"
5855,157098047,"CM000455.1 Plasmodium vivax chromosome 14, whole genome shotgun sequence
","Plasmodium vivax chromosome 14, whole genome shotgun sequence
"
5661,322496170,FR799590.1,"Leishmania donovani BPK282A1 complete genome, chromosome 3
"
283643,50345810,"CM000043.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 4, whole genome shotgun sequence
","Cryptococcus neoformans var. neoformans B-3501A chromosome 4, whole genome shotgun sequence
"
